Year Added	Street	Cross Streets	Type	Street Distance (Miles)	Protected Bike Lane (Miles)	Bike Lane Distance (Miles)	Shared Lane Marking Distance (Miles)	Neighborway (Miles)	Removed bike lane	Removed sharrow	Year Total	Bike Lane Total (BL+PBL)	Sharrow year total	Neighborway year total
1980	Resevoir Dr	Loop	Bike Lane	1.1		1.1					3.25	3.25		
	Riverview Dr	Loop	Bike Lane	2.15		2.15								
1983	Beechwood Blvd	Fifth Ave/Saline St	Bike Lane	3.71		7.42					7.42	7.42		
2007	Liberty Ave	Ligonier St/Baum Blvd								3	4.2	1.2	3	
2007	Birmingham Bridge	E Carson St/Fifth/Forbes	Bike Lane	0.6		1.2								
2008	East Liberty Blvd	Negley Ave/ Frankstown Rd	Bike Lane	0.92		1.85					2.25	1.85		
	Greenfield Rd	Pocusset St/ Hobart St	BL/SH							0.4		0.4		
2009	Wightman St	Forbes Ave/ Beacon	Bike Lane	0.27		0.54					4.14	0.54	3.6	
	Beacon Ave	Wightman Ave/ Hobart St	Bike Lane	0.43		0.86								
	Penn Ave	32nd St/ 16th St	Sharrows	1.1			1.1							
	Forbes Ave	Margaret Morrison St to Beechwood	BL/SH	1.53		0.49	2.5							
	Forbes Ave	Beechwood to Braddock	Bike Lane			1.6								
2010	Dallas Ave	WilkinsAve/ Hamilton Ave	Bike Lane	0.74		0.72	0.75				5.54	1.54	4	
	Hamilton Ave	Dallas Ave/ East Liberty Ave	Sharrows	0.63			1.25							
	Wilkins Ave	Beechwood Ave/ S. Dallas Ave	Bike Lane	0.41		0.82								
	Highland Ave	East Liberty Blvd/ Highland Park	Sharrows	0.91			2							
2011	Penn Ave	31st - 34th	Sharrows	0.3			0.6				9.26	3.2	6.06	
	Friendship Ave	Penn Ave - Pearl	Sharrows	0.25			0.5							
	Friendship Ave	Gross - Negley	Sharrows	0.64			1.3							
	Millvale Ave	Centre Ave to Bridge	Sharrows	0.2			0.4							
	Millvale Ave	Bridge to Liberty	BL/SH	0.2		0.2	0.2							
	Millvale Ave	Liberty to Friendship	Sharrows	0.16			0.3							
	Centre Ave	Milvale to Neville	Sharrows	0.15			0.3							
	Neville St	Center Ave to near Ellsworth	Sharrows	0.4			0.56							
	Ellsworth Ave	Neville St- S. Aiken	Sharrows	0.67			1.4							
	Merchant St	Ridge Ave to N. Shore Dr.	Sharrows	0.37			0.5							
	Brighton Rd	West Ohio St to Charles St	Sharrows							1.1				
	Liberty Ave	Ligonier St/Baum Blvd	Bike Lane	1.5		3								
2012						 					17.38	6.83	10.55	
	W. Ohio St	Merchant St to Brighton Rd	Bike Lane	0.3		0.6								
	Brighton Rd	Charles St to Wood's Run	Bike Lane	1.4		2.8								
	Millvale Ave	Bridge to Liberty	Bike Lane	0.1		0.1								
	Friendship Ave	Pearl to Gross	Bike Lane	0.25		0.5								
	Neville Ave	Fifth to near Ellsworth	Bike Lane	0.23		0.23								
	E Carson St	Hot Metal St to Arlington	Sharrows	1.97		1.1	2.9							
	Ellsworth	Aiken to Spahr	Sharrows	0.6			1.2							
	Butler St	Penn to 57th	BL/SH	1.9		0.5	3.4							
	E Ohio St	Cedar to East	Sharrows	0.2			0.4							
	Thomas	Dallas to Lexington	Bike Lane	0.5		1								
	Reynolds	S Dallas to Carnegie Pl	Sharrows	0.56			1.13							
	Meade	Lexington to Braddock	Sharrows	0.26			0.52							
	Homewood	Reynolds to East Busway	Sharrows	0.5			1							
2013														
	S Bouquet St	Joncaire to Sennot	Bike Lane	0.11		0.22					5.97	2.34	3.63	
	Brereton/28th	Penn to Dobson	BL/SH	0.45		0.3	0.6							
	Dobson	Brereton to Heron	Sharrows	0.21			0.43							
	Braddock Ave	Meade to Forbes	BL/SH	0.6		0.52	0.68							
	Sennot St	Oakland to Bouquet	Sharrows	0.05			0.1							
	Meyran Ave	Fresco to Louisa	Sharrows	0.07			0.15							
	Coltart	Zulema to Louisa	Sharrows	0.14			0.28							
	Atwood St	Dawson to Sennot	Sharrows	0.19			0.19							
	Highland	ELB to Penn Circle S	Sharrows	0.4			0.8							
	Penn Ave	11th - 16th							0.4	0.4				
	Mairdale	Woods Run to Park	Bike Lane			0.4	0.4							
	Pocusset	Greenfield to end	Bike Lane	0.25		0.5								
2014														
	Negley Run	Washington Blvd to East Liberty Blvd	Bike Lane						1.4		6.26	4.66	1.6	
	Centre Ave	ELB to Station St	Bike Lane	0.2		0.4								
	Morewood Ave	Millvale to Forbes	Sharrows	0.9			1.6							
	Penn Ave	Stanwix St to 16th St	PBL	1	2									
	Schenley Dr	Schenley Plaza to Anderson Playground	PBL	0.7	1.4									
	Saline St	Greenfield Ave to trail	PBL	0.13	0.26									
	E Carson	26th to Hot Metal	Bike Lane	0.3		0.6								
2015														
	6th	Penn to Bridge	Bike Lane	0.1		0.1	0.1				6.2	4.4	1.8	
	Federal St	Bridge to Isabella	Bike Lane	0.05		0.1								
	Roberto Clemente	bridge deck	PBL	0.2	0.4									
	40th St	Liberty to Butler	BL/SH	0.5		0.4	0.6							
	Bigelow	O'Hara to Schenley		0.2		0.4								
	O'Hara Bigelow Bayard	DeSoto to Morewood	BL/SH	1.1		1.6	0.6							
	Schenley Drive	Schenley Drive Extension to Bigelow	PBL	0.2	0.4									
